,anime_id,name,picture_medium,picture_large,status,rating,watched_episode,rewatching,last_updated,finish_date,start_date
33,45613,Kawaii dake ja Nai Shikimori-san,https://cdn.myanimelist.net/images/anime/1995/121695.jpg,https://cdn.myanimelist.net/images/anime/1995/121695l.jpg,on_hold,0,3,False,2022-10-08T00:55:33+00:00,,2022-04-10
34,42072,Kenja no Deshi wo Nanoru Kenja,https://cdn.myanimelist.net/images/anime/1583/119223.jpg,https://cdn.myanimelist.net/images/anime/1583/119223l.jpg,completed,5,12,False,2022-10-12T19:59:27+00:00,2022-10-12,
35,38000,Kimetsu no Yaiba,https://cdn.myanimelist.net/images/anime/1286/99889.jpg,https://cdn.myanimelist.net/images/anime/1286/99889l.jpg,completed,9,26,False,2022-05-06T11:35:08+00:00,2022-03-26,
36,40456,Kimetsu no Yaiba Movie: Mugen Ressha-hen,https://cdn.myanimelist.net/images/anime/1704/106947.jpg,https://cdn.myanimelist.net/images/anime/1704/106947l.jpg,completed,8,1,False,2022-04-09T23:02:50+00:00,2022-03-26,
37,51019,Kimetsu no Yaiba: Katanakaji no Sato-hen,https://cdn.myanimelist.net/images/anime/1765/135099.jpg,https://cdn.myanimelist.net/images/anime/1765/135099l.jpg,plan_to_watch,0,0,False,2022-03-27T04:17:36+00:00,,
38,49926,Kimetsu no Yaiba: Mugen Ressha-hen,https://cdn.myanimelist.net/images/anime/1065/118763.jpg,https://cdn.myanimelist.net/images/anime/1065/118763l.jpg,completed,8,7,False,2022-04-09T23:03:03+00:00,2022-03-26,
39,47778,Kimetsu no Yaiba: Yuukaku-hen,https://cdn.myanimelist.net/images/anime/1908/120036.jpg,https://cdn.myanimelist.net/images/anime/1908/120036l.jpg,completed,9,11,False,2022-05-06T11:35:17+00:00,2022-03-26,
40,40595,"Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen",https://cdn.myanimelist.net/images/anime/1100/109044.jpg,https://cdn.myanimelist.net/images/anime/1100/109044l.jpg,completed,7,12,False,2022-06-03T08:34:44+00:00,2022-06-03,
41,49981,"Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen Season II",https://cdn.myanimelist.net/images/anime/1322/139708.jpg,https://cdn.myanimelist.net/images/anime/1322/139708l.jpg,plan_to_watch,0,0,False,2022-07-09T11:30:12+00:00,,
42,37475,Kishuku Gakkou no Juliet,https://cdn.myanimelist.net/images/anime/1908/93416.jpg,https://cdn.myanimelist.net/images/anime/1908/93416l.jpg,completed,9,12,False,2022-04-07T10:29:46+00:00,2022-04-03,2022-04-03
43,34104,Knight's & Magic,https://cdn.myanimelist.net/images/anime/1472/93813.jpg,https://cdn.myanimelist.net/images/anime/1472/93813l.jpg,dropped,0,3,False,2022-12-23T11:44:55+00:00,,2022-12-23
44,30831,Kono Subarashii Sekai ni Shukufuku wo!,https://cdn.myanimelist.net/images/anime/8/77831.jpg,https://cdn.myanimelist.net/images/anime/8/77831l.jpg,completed,9,10,False,2022-09-04T19:26:30+00:00,2022-03-26,
45,32937,Kono Subarashii Sekai ni Shukufuku wo! 2,https://cdn.myanimelist.net/images/anime/2/83188.jpg,https://cdn.myanimelist.net/images/anime/2/83188l.jpg,completed,9,10,False,2022-09-04T19:26:38+00:00,2022-03-26,
46,34626,Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo!,https://cdn.myanimelist.net/images/anime/1115/98517.jpg,https://cdn.myanimelist.net/images/anime/1115/98517l.jpg,completed,0,1,False,2022-03-27T04:18:45+00:00,2022-03-26,
47,49458,Kono Subarashii Sekai ni Shukufuku wo! 3,https://cdn.myanimelist.net/images/anime/1800/136599.jpg,https://cdn.myanimelist.net/images/anime/1800/136599l.jpg,plan_to_watch,0,0,False,2022-03-27T04:19:10+00:00,,
48,32380,Kono Subarashii Sekai ni Shukufuku wo! Kono Subarashii Choker ni Shukufuku wo!,https://cdn.myanimelist.net/images/anime/1649/98516.jpg,https://cdn.myanimelist.net/images/anime/1649/98516l.jpg,completed,0,1,False,2022-03-27T04:18:51+00:00,2022-03-26,
49,38040,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,https://cdn.myanimelist.net/images/anime/1638/119321.jpg,https://cdn.myanimelist.net/images/anime/1638/119321l.jpg,completed,9,1,False,2022-05-06T11:34:53+00:00,2022-03-26,
50,28623,Koutetsujou no Kabaneri,https://cdn.myanimelist.net/images/anime/12/79164.jpg,https://cdn.myanimelist.net/images/anime/12/79164l.jpg,completed,8,12,False,2022-06-21T06:14:52+00:00,2022-06-20,
51,34544,Koutetsujou no Kabaneri Movie 3: Unato Kessen,https://cdn.myanimelist.net/images/anime/1749/99713.jpg,https://cdn.myanimelist.net/images/anime/1749/99713l.jpg,completed,8,1,False,2022-06-21T11:05:11+00:00,2022-06-21,
52,40974,Kuma Kuma Kuma Bear,https://cdn.myanimelist.net/images/anime/1413/110712.jpg,https://cdn.myanimelist.net/images/anime/1413/110712l.jpg,completed,7,12,False,2022-05-25T09:08:17+00:00,2022-05-25,
53,48239,Leadale no Daichi nite,https://cdn.myanimelist.net/images/anime/1671/120628.jpg,https://cdn.myanimelist.net/images/anime/1671/120628l.jpg,completed,7,12,False,2022-06-18T10:21:20+00:00,2022-06-18,
54,39071,Machikado Mazoku,https://cdn.myanimelist.net/images/anime/1633/111518.jpg,https://cdn.myanimelist.net/images/anime/1633/111518l.jpg,completed,8,12,False,2022-10-13T07:34:40+00:00,2022-10-13,
55,42745,Machikado Mazoku: 2-choume,https://cdn.myanimelist.net/images/anime/1036/121135.jpg,https://cdn.myanimelist.net/images/anime/1036/121135l.jpg,completed,8,12,False,2022-10-18T06:54:10+00:00,2022-10-17,
56,20785,Mahouka Koukou no Rettousei,https://cdn.myanimelist.net/images/anime/11/61039.jpg,https://cdn.myanimelist.net/images/anime/11/61039l.jpg,completed,6,26,False,2022-06-14T10:50:50+00:00,2022-05-30,
57,50668,Mahoutsukai no Yoru,https://cdn.myanimelist.net/images/anime/1995/120244.jpg,https://cdn.myanimelist.net/images/anime/1995/120244l.jpg,plan_to_watch,0,0,False,2022-06-13T07:51:15+00:00,,
58,40571,Majo no Tabitabi,https://cdn.myanimelist.net/images/anime/1802/108501.jpg,https://cdn.myanimelist.net/images/anime/1802/108501l.jpg,completed,10,12,False,2022-06-25T10:07:40+00:00,2022-06-25,
59,50597,Massara,https://cdn.myanimelist.net/images/anime/1485/120354.jpg,https://cdn.myanimelist.net/images/anime/1485/120354l.jpg,plan_to_watch,0,0,False,2022-04-10T18:44:12+00:00,,
60,50593,"Natsu e no Tunnel, Sayonara no Deguchi",https://cdn.myanimelist.net/images/anime/1462/125397.jpg,https://cdn.myanimelist.net/images/anime/1462/125397l.jpg,plan_to_watch,0,0,False,2022-06-27T12:39:43+00:00,,
61,19815,No Game No Life,https://cdn.myanimelist.net/images/anime/1074/111944.jpg,https://cdn.myanimelist.net/images/anime/1074/111944l.jpg,completed,8,12,False,2022-09-08T07:29:38+00:00,2022-07-17,
62,41899,Ore dake Haireru Kakushi Dungeon,https://cdn.myanimelist.net/images/anime/1988/115708.jpg,https://cdn.myanimelist.net/images/anime/1988/115708l.jpg,plan_to_watch,0,0,False,2022-06-03T10:48:39+00:00,,
63,14749,Ore no Kanojo to Osananajimi ga Shuraba Sugiru,https://cdn.myanimelist.net/images/anime/13/44187.jpg,https://cdn.myanimelist.net/images/anime/13/44187l.jpg,plan_to_watch,0,0,False,2022-04-07T20:40:30+00:00,,
64,38555,Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta...,https://cdn.myanimelist.net/images/anime/1483/107061.jpg,https://cdn.myanimelist.net/images/anime/1483/107061l.jpg,completed,8,12,False,2022-07-21T09:35:37+00:00,2022-07-21,
65,50461,Otome Game Sekai wa Mob ni Kibishii Sekai desu,https://cdn.myanimelist.net/images/anime/1161/121462.jpg,https://cdn.myanimelist.net/images/anime/1161/121462l.jpg,completed,7,12,False,2022-06-22T11:27:04+00:00,2022-06-22,
66,527,Pokemon,https://cdn.myanimelist.net/images/anime/13/73834.jpg,https://cdn.myanimelist.net/images/anime/13/73834l.jpg,completed,0,276,False,2022-03-31T10:53:08+00:00,2022-03-31,
67,11019,Pokemon 3D Adventure: Mew wo Sagase!,https://cdn.myanimelist.net/images/anime/3/30561.jpg,https://cdn.myanimelist.net/images/anime/3/30561l.jpg,completed,0,1,False,2022-03-31T10:58:52+00:00,2022-03-31,
68,1564,Pokemon Advanced Generation,https://cdn.myanimelist.net/images/anime/1759/97378.jpg,https://cdn.myanimelist.net/images/anime/1759/97378l.jpg,completed,0,192,False,2022-03-31T10:53:27+00:00,2022-03-31,
69,9107,Pokemon Best Wishes!,https://cdn.myanimelist.net/images/anime/7/26135.jpg,https://cdn.myanimelist.net/images/anime/7/26135l.jpg,completed,0,84,False,2022-03-31T10:55:05+00:00,2022-03-31,
70,14093,Pokemon Best Wishes! Season 2,https://cdn.myanimelist.net/images/anime/1227/113635.jpg,https://cdn.myanimelist.net/images/anime/1227/113635l.jpg,completed,0,24,False,2022-03-31T10:56:08+00:00,2022-03-31,
71,17873,Pokemon Best Wishes! Season 2: Decolora Adventure,https://cdn.myanimelist.net/images/anime/5/49285.jpg,https://cdn.myanimelist.net/images/anime/5/49285l.jpg,completed,0,20,False,2022-03-31T10:57:36+00:00,2022-03-31,
72,17115,Pokemon Best Wishes! Season 2: Episode N,https://cdn.myanimelist.net/images/anime/7/45749.jpg,https://cdn.myanimelist.net/images/anime/7/45749l.jpg,completed,0,14,False,2022-03-31T10:57:01+00:00,2022-03-31,
73,1565,Pokemon Diamond & Pearl,https://cdn.myanimelist.net/images/anime/13/25749.jpg,https://cdn.myanimelist.net/images/anime/13/25749l.jpg,completed,0,191,False,2022-03-31T10:54:27+00:00,2022-03-31,
74,34514,Pokemon Generations,https://cdn.myanimelist.net/images/anime/11/83210.jpg,https://cdn.myanimelist.net/images/anime/11/83210l.jpg,completed,0,18,False,2022-03-31T10:56:03+00:00,2022-03-31,
75,11073,Pokemon Introductory Recap,https://cdn.myanimelist.net/images/anime/7/30675.jpg,https://cdn.myanimelist.net/images/anime/7/30675l.jpg,completed,0,1,False,2022-03-31T10:58:14+00:00,2022-03-31,
76,528,Pokemon Movie 01: Mewtwo no Gyakushuu,https://cdn.myanimelist.net/images/anime/13/65699.jpg,https://cdn.myanimelist.net/images/anime/13/65699l.jpg,completed,0,1,False,2022-03-31T10:52:49+00:00,2022-03-31,
77,1117,Pokemon Movie 02: Maboroshi no Pokemon Lugia Bakutan,https://cdn.myanimelist.net/images/anime/11/41801.jpg,https://cdn.myanimelist.net/images/anime/11/41801l.jpg,completed,0,1,False,2022-03-31T10:53:13+00:00,2022-03-31,
78,1118,Pokemon Movie 03: Kesshoutou no Teiou Entei,https://cdn.myanimelist.net/images/anime/7/80288.jpg,https://cdn.myanimelist.net/images/anime/7/80288l.jpg,completed,0,1,False,2022-03-31T10:53:18+00:00,2022-03-31,
79,1119,Pokemon Movie 04: Celebi Toki wo Koeta Deai,https://cdn.myanimelist.net/images/anime/2/41799.jpg,https://cdn.myanimelist.net/images/anime/2/41799l.jpg,completed,0,1,False,2022-03-31T10:53:23+00:00,2022-03-31,
80,1120,Pokemon Movie 05: Mizu no Miyako no Mamorigami Latias to Latios,https://cdn.myanimelist.net/images/anime/2/21317.jpg,https://cdn.myanimelist.net/images/anime/2/21317l.jpg,completed,0,1,False,2022-03-31T10:53:49+00:00,2022-03-31,
81,1121,Pokemon Movie 06: Nanayo no Negaiboshi Jirachi,https://cdn.myanimelist.net/images/anime/13/75733.jpg,https://cdn.myanimelist.net/images/anime/13/75733l.jpg,completed,0,1,False,2022-03-31T10:55:45+00:00,2022-03-31,
82,1122,Pokemon Movie 07: Rekkuu no Houmonsha Deoxys,https://cdn.myanimelist.net/images/anime/9/21313.jpg,https://cdn.myanimelist.net/images/anime/9/21313l.jpg,completed,0,1,False,2022-03-31T10:53:58+00:00,2022-03-31,
83,1526,Pokemon Movie 08: Mew to Hadou no Yuusha Lucario,https://cdn.myanimelist.net/images/anime/6/79257.jpg,https://cdn.myanimelist.net/images/anime/6/79257l.jpg,completed,0,1,False,2022-03-31T10:54:11+00:00,2022-03-31,
84,2201,Pokemon Movie 09: Pokemon Ranger to Umi no Ouji Manaphy,https://cdn.myanimelist.net/images/anime/10/23168.jpg,https://cdn.myanimelist.net/images/anime/10/23168l.jpg,completed,0,1,False,2022-03-31T10:54:20+00:00,2022-03-31,
